taxon,name,body_lengh_cm,weight_kg,link
食肉類,レッサーパンダ,63.5,6,https://ja.wikipedia.org/wiki/レッサーパンダ
鳥類,ホオジロカンムリヅル,100,3.5,https://ja.wikipedia.org/wiki/ホオジロカンムリヅル
食肉類,コツメカワウソ,64,5.4,https://ja.wikipedia.org/wiki/コツメカワウソ
鳥類,カナダガン,110,6.5,https://ja.wikipedia.org/wiki/カナダガン
霊長類,チンパンジー,85,60,https://ja.wikipedia.org/wiki/チンパンジー
霊長類,シシオザル,66,10,https://ja.wikipedia.org/wiki/シシオザル
霊長類,マントヒヒ,80,20,https://ja.wikipedia.org/wiki/マントヒヒ
食肉類,ピューマ,168,80,https://ja.wikipedia.org/wiki/ピューマ
齧歯類,カピバラ,134,66,https://ja.wikipedia.org/wiki/カピバラ
食肉類,ライオン,250,225,https://ja.wikipedia.org/wiki/ライオン
鳥類,アフリカハゲコウ,130,9,https://ja.wikipedia.org/wiki/アフリカハゲコウ
偶蹄類,シロオリックス,175,220,https://ja.wikipedia.org/wiki/シロオリックス
食肉類,ミーアキャット,31,0.9,https://ja.wikipedia.org/wiki/ミーアキャット
食肉類,シンリンオオカミ,NA,30.3,https://ja.wikipedia.org/wiki/シンリンオオカミ
鳥類,アンデスコンドル,1.2,15,https://ja.wikipedia.org/wiki/コンドル
食肉類,ホッキョクグマ,250,410,https://ja.wikipedia.org/wiki/ホッキョクグマ
霊長類,リスザル,35,1.1,https://ja.wikipedia.org/wiki/リスザル
鳥類,フンボルトペンギン,69,6,https://ja.wikipedia.org/wiki/フンボルトペンギン
鯨偶蹄類,ラマ,NA,140,https://ja.wikipedia.org/wiki/リャマ
奇蹄類,ポニー,NA,NA,https://ja.wikipedia.org/wiki/ポニー
齧歯類,モルモット,40,1.5,https://ja.wikipedia.org/wiki/モルモット
鯨偶蹄類,ヒツジ,NA,NA,https://ja.wikipedia.org/wiki/ヒツジ
