区分,男_身長_平均値,男_身長_標準偏差,男_体重_平均値,男_体重_標準偏差,女_身長_平均値,女_身長_標準偏差,女_体重_平均値,女_体重_標準偏差
宮城,112.8,4.77,20.1,3.12,111.6,4.77,19.6,3.31
石川,112.6,5,19.6,2.78,111.5,4.9,19.2,2.83
奈良,112.6,4.67,19.8,2.85,111,4.63,19.1,3.05
東京,112.5,5,19.8,2.99,111.5,5.06,19.3,2.78
富山,112.4,4.93,19.5,2.89,110.8,4.69,19,2.51
兵庫,112.3,4.94,19.8,2.94,111,4.74,19.1,2.65
和歌山,112.2,5.16,19.8,2.98,111.3,5.08,19.6,3.07
福井,112.1,4.88,19.4,2.75,111.3,4.64,19,2.64
京都,112.1,5.07,19.5,2.91,111.4,4.77,19.3,2.86
秋田,112,5.12,19.8,3.56,111.2,4.88,19.4,2.98
山形,112,4.8,19.5,2.98,111.4,4.84,19.4,2.97
神奈川,111.9,4.7,19.6,2.89,111,4.98,19.1,2.82
群馬,111.7,4.71,19.7,3.51,110.9,4.68,19.5,3.23
千葉,111.7,4.94,19.4,2.97,110.7,5.03,19,2.7
大分,111.7,4.54,19.6,2.75,110.6,4.65,19,2.65
大阪,111.6,4.74,19.3,2.8,110.4,5.06,18.9,2.66
北海道,111.5,4.82,19.6,2.93,110.5,4.83,19,2.9
佐賀,111.5,5.03,19.5,2.99,110.5,4.77,19.1,2.58
埼玉,111.4,5.04,19.5,3.05,110.7,4.86,19,2.77
岐阜,111.4,4.76,19.3,2.74,110.6,4.33,18.8,2.55
静岡,111.4,4.79,19.2,2.67,110.5,4.54,18.8,2.34
愛知,111.4,4.84,19.2,2.95,110.6,4.89,18.9,2.63
福岡,111.4,4.76,19.5,2.99,110.4,4.84,19.2,2.92
青森,111.3,5.05,19.7,2.97,111.1,5.05,19.9,3.15
福島,111.3,4.65,19.4,3.04,109.6,4.84,18.8,2.64
茨城,111.2,4.92,19.3,2.87,109.7,5.06,19,3.27
長野,111.2,4.65,19.1,2.71,110,4.5,18.6,2.4
滋賀,111.2,4.85,19.1,2.97,110.4,5.09,18.7,2.59
山口,111.2,4.78,19.3,2.57,109.8,5.12,18.8,2.84
山梨,111.1,5.47,19,3.2,110.8,5.05,19.1,2.91
新潟,111,4.66,19.1,2.47,110.3,4.56,18.8,2.54
島根,111,5.07,19.1,2.83,110.1,4.64,18.4,2.36
岡山,111,4.88,19.2,2.83,109.9,4.74,18.8,2.54
三重,110.8,4.97,19.2,2.78,110.5,4.71,19,2.69
香川,110.8,4.62,19.2,2.74,109.4,4.75,18.7,2.74
熊本,110.8,4.89,19.1,2.67,109.8,4.71,18.8,2.75
岩手,110.7,4.66,19.1,2.82,110.4,4.67,19.3,2.9
栃木,110.6,4.77,19,2.74,109.8,4.56,18.9,2.79
広島,110.6,4.94,19.2,2.65,109.7,4.85,18.8,2.44
愛媛,110.5,4.96,19.1,2.84,109.6,5.01,18.9,2.74
高知,110.4,4.51,18.9,2.38,109.5,5.48,18.6,3.13
宮崎,110.4,4.97,19.1,2.45,109,4.71,18.6,2.69
沖縄,110.4,4.84,19,2.56,109.9,4.75,19,2.99
鳥取,110.3,4.59,18.9,2.84,109.6,4.94,18.7,2.56
鹿児島,110.3,4.98,19.2,2.75,109.2,4.96,18.6,2.54
長崎,110.2,4.71,19,2.68,109.9,5.15,19.1,2.91
徳島,110.1,4.94,19.2,2.95,109.5,4.58,19.1,2.82
